City,Region,Location,Scraped,To Scrape,Scrape Error,Notes,Imaged,To Image,Image Error,Enhanced,To Enhance,Enhance Error,Videod,To Video,Video Error,Helper URL
White Rock,British Columbia,"White Rock, British Columbia",,,yes,only 22 things to do,,,,,,,,,,https://www.tripadvisor.com/Attractions-g154949-Activities-White_Rock_British_Columbia.html
Nanaimo,British Columbia,"Nanaimo, British Columbia",yes,yes,,,,,,,,,,,,
Sudbury,Ontario,"Sudbury, Ontario",yes,yes,,list index out of range,,,,,,,,,,https://www.tripadvisor.ca/Attractions-g155016-Activities-Sudbury_Northeastern_Ontario_Ontario.html
Lethbridge,Alberta,"Lethbridge, Alberta",yes,yes,,list index out of range,,,,,,,,,,https://www.tripadvisor.ca/Attractions-g154919-Activities-Lethbridge_Alberta.html
Saint-Jean-sur-Richelieu,Quebec,"Saint-Jean-sur-Richelieu, Quebec",,,yes,,,,,,,,,,,
Peterborough,Ontario,"Peterborough, Ontario",yes,yes,,,,,,,,,,,,
Kamloops,British Columbia,"Kamloops, British Columbia",yes,yes,,,,,,,,,,,,
Saint-Jérôme,Quebec,"Saint-Jérôme, Quebec",,,yes,'ascii' codec can't encode character '\xe9' in position 21: ordinal not in range(128),,,,,,,,,,
Chilliwack,British Columbia,"Chilliwack, British Columbia",yes,yes,,,,,,,,,,,,
Sarnia,Ontario,"Sarnia, Ontario",,,yes,,,,,,,,,,,
Châteauguay,Quebec,"Châteauguay, Quebec",,,yes,,,,,,,,,,,
Drummondville,Quebec,"Drummondville, Quebec",yes,yes,,,,,,,,,,,,
Belleville,Ontario,"Belleville, Ontario",yes,yes,,,,,,,,,,,,
Fort McMurray,Alberta,"Fort McMurray, Alberta",,,yes,,,,,,,,,,,
Sault Ste. Marie,Ontario,"Sault Ste. Marie, Ontario",yes,yes,,,,,,,,,,,,
Prince George,British Columbia,"Prince George, British Columbia",,,yes,,,,,,,,,,,
Medicine Hat,Alberta,"Medicine Hat, Alberta",,,yes,,,,,,,,,,,
Welland–Pelham,Ontario,"Welland–Pelham, Ontario",,,yes,,,,,,,,,,,
Grande Prairie,Alberta,"Grande Prairie, Alberta",,,yes,,,,,,,,,,,
Airdrie,Alberta,"Airdrie, Alberta",,,yes,,,,,,,,,,,
Granby,Quebec,"Granby, Quebec",yes,yes,,,,,,,,,,,,
Fredericton,New Brunswick,"Fredericton, New Brunswick",,,yes,,,,,,,,,,,
Saint John,New Brunswick,"Saint John, New Brunswick",yes,yes,,,,,,,,,,,,
Beloeil,Quebec,"Beloeil, Quebec",,,yes,,,,,,,,,,,
North Bay,Ontario,"North Bay, Ontario",yes,yes,,,,,,,,,,,,
Saint-Hyacinthe,Quebec,"Saint-Hyacinthe, Quebec",,,yes,,,,,,,,,,,
Brandon,Manitoba,"Brandon, Manitoba",,,yes,,,,,,,,,,,
Vernon,British Columbia,"Vernon, British Columbia",yes,yes,,,,,,,,,,,,
Cornwall,Ontario,"Cornwall, Ontario",yes,yes,,,,,,,,,,,,
Joliette,Quebec,"Joliette, Quebec",,,yes,,,,,,,,,,,
Courtenay,British Columbia,"Courtenay, British Columbia",yes,yes,,,,,,,,,,,,
Charlottetown,Prince Edward Island,"Charlottetown, Prince Edward Island",,,yes,,,,,,,,,,,
Victoriaville,Quebec,"Victoriaville, Quebec",,,yes,,,,,,,,,,,
Chatham,Ontario,"Chatham, Ontario",yes,yes,,,,,,,,,,,,
Georgetown,Ontario,"Georgetown, Ontario",,,yes,,,,,,,,,,,
St. Thomas,Ontario,"St. Thomas, Ontario",yes,yes,,,,,,,,,,,,
Woodstock,Ontario,"Woodstock, Ontario",,,yes,,,,,,,,,,,
Bowmanville,Ontario,"Bowmanville, Ontario",,,yes,,,,,,,,,,,
Salaberry-de-Valleyfield,Quebec,"Salaberry-de-Valleyfield, Quebec",,,yes,,,,,,,,,,,
Shawinigan,Quebec,"Shawinigan, Quebec",yes,yes,,,,,,,,,,,,
Rimouski,Quebec,"Rimouski, Quebec",yes,yes,,,,,,,,,,,,
Spruce Grove,Alberta,"Spruce Grove, Alberta",,,yes,,,,,,,,,,,
Sorel,Quebec,"Sorel, Quebec",,,yes,,,,,,,,,,,
Campbell River,British Columbia,"Campbell River, British Columbia",,,yes,,,,,,,,,,,
Prince Albert,Saskatchewan,"Prince Albert, Saskatchewan",,,yes,,,,,,,,,,,
Penticton,British Columbia,"Penticton, British Columbia",yes,yes,,,,,,,,,,,,
Mission,British Columbia,"Mission, British Columbia",,,yes,,,,,,,,,,,
Leamington,Ontario,"Leamington, Ontario",,,yes,,,,,,,,,,,
Moose Jaw,Saskatchewan,"Moose Jaw, Saskatchewan",,,yes,,,,,,,,,,,
Stouffville,Ontario,"Stouffville, Ontario",,,yes,,,,,,,,,,,
Lloydminster,Alberta/Saskatchewan,"Lloydminster, Alberta/Saskatchewan",,,yes,,,,,,,,,,,
Orillia,Ontario,"Orillia, Ontario",,,yes,,,,,,,,,,,
Stratford,Ontario,"Stratford, Ontario",yes,yes,,,,,,,,,,,,
Orangeville,Ontario,"Orangeville, Ontario",,,yes,,,,,,,,,,,
Cape Breton–Sydney,Nova Scotia,"Cape Breton–Sydney, Nova Scotia",,,yes,,,,,,,,,,,
Bradford,Ontario,"Bradford, Ontario",,,yes,,,,,,,,,,,
Leduc,Alberta,"Leduc, Alberta",,,yes,,,,,,,,,,,
Timmins,Ontario,"Timmins, Ontario",,,yes,,,,,,,,,,,
Okotoks,Alberta,"Okotoks, Alberta",,,yes,,,,,,,,,,,
Saint-Georges,Quebec,"Saint-Georges, Quebec",,,yes,,,,,,,,,,,
Keswick–Elmhurst Beach,Ontario,"Keswick–Elmhurst Beach, Ontario",,,yes,,,,,,,,,,,
Bolton,Ontario,"Bolton, Ontario",,,yes,,,,,,,,,,,
Val-d'Or,Quebec,"Val-d'Or, Quebec",,,yes,,,,,,,,,,,
Cochrane,Alberta,"Cochrane, Alberta",,,yes,,,,,,,,,,,
Quispamsis–Rothesay,New Brunswick,"Quispamsis–Rothesay, New Brunswick",,,yes,,,,,,,,,,,
Midland,Ontario,"Midland, Ontario",,,yes,,,,,,,,,,,
Innisfil,Ontario,"Innisfil, Ontario",,,yes,,,,,,,,,,,
,,United States,,,yes,"bad character error, need to do in manually",,,,,,,,,,https://www.tripadvisor.ca/Attractions-g191-Activities-a_allAttractions.true-United_States.html
,,Alabama,yes,yes,,,yes,yes,,yes,yes,,yes,yes,,
,,Alaska,yes,yes,,,yes,yes,,yes,yes,,yes,yes,,
,,Arizona,yes,yes,,,yes,yes,,yes,yes,,yes,yes,,
,,Arkansas,yes,yes,,,yes,yes,,,,,,,,
,,California,yes,yes,,,yes,yes,,yes,yes,,yes,yes,,
,,Colorado,yes,yes,,,yes,yes,,,,,,,,
,,Connecticut,yes,yes,,,yes,yes,,,,,,,,
,,Delaware,yes,yes,,,yes,yes,,,,,,,,https://www.tripadvisor.com/Attractions-g28929-Activities-a_allAttractions.true-Delaware.html
,,Florida,yes,yes,,,yes,yes,,yes,yes,,yes,yes,,
,,Georgia,yes,yes,,,yes,yes,,,,,,,,https://www.tripadvisor.ca/Attractions-g28931-Activities-a_allAttractions.true-Georgia.html
,,Hawaii,yes,yes,yes,"done manually by copying print out, since there was a buggy character",yes,yes,,,,,yes,yes,,https://www.tripadvisor.com/Attractions-g28932-Activities-a_allAttractions.true-Hawaii.html
,,Idaho,yes,yes,,,yes,yes,,,,,,,,
,,Illinois,yes,yes,,,yes,yes,,,,,,,,
,,Indiana,yes,yes,,,yes,yes,,,,,,,,https://www.tripadvisor.com/Attractions-g28935-Activities-a_allAttractions.true-Indiana.html
,,Iowa,yes,yes,,,yes,yes,,,,,,,,https://www.tripadvisor.ca/Attractions-g28936-Activities-a_allAttractions.true-Iowa.html
,,Kansas,yes,yes,,,yes,yes,,,,,,,,
,,Kentucky,yes,yes,,,yes,yes,,,,,,,,
,,Louisiana,yes,yes,,,yes,yes,,,,,,,,
,,Maine,yes,yes,,,yes,yes,,,,,,,,
,,Maryland,yes,yes,,,yes,yes,,,,,,,,
,,Massachusetts,yes,yes,,,yes,yes,,,,,,,,
,,Michigan,yes,yes,,,yes,yes,,,,,,,,
,,Minnesota,yes,yes,,,yes,yes,,,,,,,,
,,Mississippi,yes,yes,,,yes,yes,,,,,,,,
,,Missouri,yes,yes,,,yes,yes,,,,,,,,
,,Montana,yes,yes,,,yes,yes,,,,,,,,
,,Nebraska,yes,yes,,,yes,yes,,,,,,,,
,,Nevada,yes,yes,,,yes,yes,,yes,yes,,yes,yes,,
,,New Hampshire,yes,yes,,,yes,yes,,,,,,,,https://www.tripadvisor.ca/Attractions-g28950-Activities-a_allAttractions.true-New_Hampshire.html
,,New Jersey,yes,yes,,,yes,yes,,,,,,,,
,,New Mexico,yes,yes,,,yes,yes,,,,,,,,
,,New York,yes,yes,,,yes,yes,,,,,,,,
,,North Carolina,yes,yes,,,yes,yes,,,,,,,,https://www.tripadvisor.com/Attractions-g28954-Activities-a_allAttractions.true-North_Carolina.html
,,North Dakota,yes,yes,,,yes,yes,,,,,,,,
,,Ohio,yes,yes,,,yes,yes,,,,,,,,
,,Oklahoma,yes,yes,,,yes,yes,,,,,,,,
,,Oregon,yes,yes,,,yes,yes,,,,,,,,https://www.tripadvisor.ca/Attractions-g28958-Activities-a_allAttractions.true-Oregon.html
,,Pennsylvania,yes,yes,,,yes,yes,,,,,,,,
,,Rhode Island,yes,yes,,,yes,yes,,,,,,,,
,,South Carolina,yes,yes,,,yes,yes,,,,,,,,https://www.tripadvisor.ca/Attractions-g28961-Activities-a_allAttractions.true-South_Carolina.html
,,South Dakota,yes,yes,,,yes,yes,,,,,,,,
,,Tennessee,yes,yes,,,yes,yes,,,,,,,,
,,Texas,yes,yes,,,yes,yes,,,,,,,,
,,Utah,yes,yes,,,yes,yes,,,,,,,,
,,Vermont,yes,yes,,,yes,yes,,,,,,,,
,,Virginia,yes,yes,,,yes,yes,,,,,,,,https://www.tripadvisor.com/Attractions-g28967-Activities-a_allAttractions.true-Virginia.html
,,Washington,yes,yes,,,yes,yes,,,,,,,,https://www.tripadvisor.com/Attractions-g28968-Activities-Washington.html
,,West Virginia,yes,yes,,,yes,yes,,,,,,,,
,,Wisconsin,yes,yes,,,yes,yes,,,,,,,,
,,Wyoming,yes,yes,,,yes,yes,,,,,,,,
New York City,New York,"New York City, New York",yes,yes,,,yes,yes,,,,,yes,yes,,https://www.tripadvisor.com/Attractions-g60763-Activities-a_allAttractions.true-New_York_City_New_York.html
Los Angeles,California,"Los Angeles, California",yes,yes,,,yes,yes,,,,,yes,yes,,
Chicago,Illinois,"Chicago, Illinois",yes,yes,,,yes,yes,,,,,yes,yes,,
Houston,Texas,"Houston, Texas",yes,yes,,,yes,yes,,,,,yes,yes,,
Phoenix,Arizona,"Phoenix, Arizona",yes,yes,,,yes,yes,,,,,yes,yes,,
Philadelphia,Pennsylvania,"Philadelphia, Pennsylvania",yes,yes,,,yes,yes,,,,,yes,yes,,
San Antonio,Texas,"San Antonio, Texas",yes,yes,,,yes,yes,,,,,yes,yes,,
San Diego,California,"San Diego, California",yes,yes,,,yes,yes,,,,,yes,yes,,
Dallas,Texas,"Dallas, Texas",yes,yes,,,yes,yes,,,,,yes,yes,,
San Jose,California,"San Jose, California",yes,yes,,,yes,yes,,,,,yes,yes,,https://www.tripadvisor.com/Attractions-g33020-Activities-a_allAttractions.true-San_Jose_California.html
Austin,Texas,"Austin, Texas",yes,yes,,,yes,yes,,,,,yes,yes,,
Jacksonville,Florida,"Jacksonville, Florida",yes,yes,,,yes,yes,,,,,yes,yes,,
Fort Worth,Texas,"Fort Worth, Texas",yes,yes,,,yes,yes,,,,,yes,yes,,
Columbus,Ohio,"Columbus, Ohio",yes,yes,,,yes,yes,,,,,yes,yes,,
Charlotte,North Carolina,"Charlotte, North Carolina",yes,yes,,,yes,yes,,,,,yes,yes,,
San Francisco,California,"San Francisco, California",yes,yes,,,yes,yes,,,,,yes,yes,,
Indianapolis,Indiana,"Indianapolis, Indiana",yes,yes,,,yes,yes,,,,,yes,yes,,
Seattle,Washington,"Seattle, Washington",yes,yes,,,yes,yes,,,,,,,,
Denver,Colorado,"Denver, Colorado",yes,yes,,,yes,yes,,,,,yes,yes,,
Washington,District of Columbia,"Washington, District of Columbia",yes,yes,,,yes,yes,,,,,yes,yes,,
Boston,Massachusetts,"Boston, Massachusetts",yes,yes,,,yes,yes,,yes,yes,,yes,yes,,
El Paso,Texas,"El Paso, Texas",yes,yes,,,yes,yes,,yes,yes,,yes,yes,,https://www.tripadvisor.com/Attractions-g60768-Activities-a_allAttractions.true-El_Paso_Texas.html
Nashville,Tennessee,"Nashville, Tennessee",yes,yes,,,yes,yes,,yes,yes,,yes,yes,,
Detroit,Michigan,"Detroit, Michigan",yes,yes,,,yes,yes,,yes,yes,,yes,yes,,
Oklahoma City,Oklahoma,"Oklahoma City, Oklahoma",yes,yes,,,yes,yes,,yes,yes,,yes,yes,,
Portland,Oregon,"Portland, Oregon",yes,yes,,,yes,yes,,yes,yes,,yes,yes,,
Las Vegas,Nevada,"Las Vegas, Nevada",yes,yes,,,yes,yes,,,,,yes,yes,,https://www.tripadvisor.com/Attractions-g45963-Activities-a_allAttractions.true-Las_Vegas_Nevada.html
Memphis,Tennessee,"Memphis, Tennessee",yes,yes,,,,,,,,,,,,
Louisville,Kentucky,"Louisville, Kentucky",yes,yes,,,,,,,,,,,,
Baltimore,Maryland,"Baltimore, Maryland",yes,yes,,,,,,,,,,,,
Milwaukee,Wisconsin,"Milwaukee, Wisconsin",yes,yes,,,,,,,,,,,,
Albuquerque,New Mexico,"Albuquerque, New Mexico",yes,yes,,,,,,,,,,,,
Tucson,Arizona,"Tucson, Arizona",yes,yes,,,,,,,,,,,,
Fresno,California,"Fresno, California",yes,yes,,,,,,,,,,,,
Mesa,Arizona,"Mesa, Arizona",yes,yes,,,,,,,,,,,,
Sacramento,California,"Sacramento, California",yes,yes,,,,,,,,,,,,
Atlanta,Georgia,"Atlanta, Georgia",yes,yes,,,,,,,,,,,,
Kansas City,Missouri,"Kansas City, Missouri",yes,yes,,,,,,,,,,,,
Colorado Springs,Colorado,"Colorado Springs, Colorado",,,yes,,,,,,,,,,,
Omaha,Nebraska,"Omaha, Nebraska",yes,yes,,,,,,,,,,,,
Raleigh,North Carolina,"Raleigh, North Carolina",yes,yes,,,,,,,,,,,,
Miami,Florida,"Miami, Florida",,,yes,,,,,,,,,,,
Long Beach,California,"Long Beach, California",,,yes,,,,,,,,,,,
Virginia Beach,Virginia,"Virginia Beach, Virginia",yes,yes,,,,,,,,,,,,
Oakland,California,"Oakland, California",yes,yes,,,,,,,,,,,,
Minneapolis,Minnesota,"Minneapolis, Minnesota",yes,yes,,,,,,,,,,,,
Tulsa,Oklahoma,"Tulsa, Oklahoma",yes,yes,,,,,,,,,,,,
Tampa,Florida,"Tampa, Florida",yes,yes,,,,,,,,,,,,
Arlington,Texas,"Arlington, Texas",yes,yes,,,,,,,,,,,,
New Orleans,Louisiana,"New Orleans, Louisiana",yes,yes,,,,,,,,,,,,
Wichita,Kansas,"Wichita, Kansas",yes,yes,,,,,,,,,,,,
Bakersfield,California,"Bakersfield, California",yes,yes,,,,,,,,,,,,
Cleveland,Ohio,"Cleveland, Ohio",yes,yes,,,,,,,,,,,,
Aurora,Colorado,"Aurora, Colorado",,,yes,,,,,,,,,,,
Anaheim,California,"Anaheim, California",yes,yes,,,,,,,,,,,,
Honolulu,Hawaii,"Honolulu, Hawaii",,,yes,"bug in output, need to copy from print",,,,,,,,,,
Santa Ana,California,"Santa Ana, California",yes,yes,,,,,,,,,,,,
Riverside,California,"Riverside, California",,,yes,,,,,,,,,,,
Corpus Christi,Texas,"Corpus Christi, Texas",yes,yes,,,,,,,,,,,,
Lexington,Kentucky,"Lexington, Kentucky",yes,yes,,,,,,,,,,,,
Henderson,Nevada,"Henderson, Nevada",yes,yes,,,,,,,,,,,,
Stockton,California,"Stockton, California",yes,yes,,,,,,,,,,,,
Saint Paul,Minnesota,"Saint Paul, Minnesota",yes,yes,,,,,,,,,,,,
Cincinnati,Ohio,"Cincinnati, Ohio",yes,yes,,,,,,,,,,,,
St. Louis,Missouri,"St. Louis, Missouri",yes,yes,,,,,,,,,,,,
Pittsburgh,Pennsylvania,"Pittsburgh, Pennsylvania",yes,yes,,,,,,,,,,,,
Greensboro,North Carolina,"Greensboro, North Carolina",yes,yes,,,,,,,,,,,,
Lincoln,Nebraska,"Lincoln, Nebraska",yes,yes,,,,,,,,,,,,
Anchorage,Alaska,"Anchorage, Alaska",yes,yes,,,,,,,,,,,,
Plano,Texas,"Plano, Texas",yes,yes,,,,,,,,,,,,
Orlando,Florida,"Orlando, Florida",yes,yes,,,,,,,,,,,,
Irvine,California,"Irvine, California",yes,yes,,,,,,,,,,,,
Newark,New Jersey,"Newark, New Jersey",yes,yes,,,,,,,,,,,,
Durham,North Carolina,"Durham, North Carolina",yes,yes,,,,,,,,,,,,
Chula Vista,California,"Chula Vista, California",,,yes,,,,,,,,,,,
Toledo,Ohio,"Toledo, Ohio",yes,yes,,,,,,,,,,,,
Fort Wayne,Indiana,"Fort Wayne, Indiana",yes,yes,,,,,,,,,,,,
St. Petersburg,Florida,"St. Petersburg, Florida",yes,yes,,,,,,,,,,,,
Laredo,Texas,"Laredo, Texas",,,yes,,,,,,,,,,,
Jersey City,New Jersey,"Jersey City, New Jersey",yes,yes,,,,,,,,,,,,
Chandler,Arizona,"Chandler, Arizona",,,yes,,,,,,,,,,,
Madison,Wisconsin,"Madison, Wisconsin",yes,yes,,,,,,,,,,,,
Lubbock,Texas,"Lubbock, Texas",yes,yes,,,,,,,,,,,,
Scottsdale,Arizona,"Scottsdale, Arizona",yes,yes,,,,,,,,,,,,
Reno,Nevada,"Reno, Nevada",yes,yes,,,,,,,,,,,,
Buffalo,New York,"Buffalo, New York",yes,yes,,,,,,,,,,,,
Gilbert,Arizona,"Gilbert, Arizona",,,yes,,,,,,,,,,,
Glendale,Arizona,"Glendale, Arizona",yes,yes,,,,,,,,,,,,
North Las Vegas,Nevada,"North Las Vegas, Nevada",,,yes,,,,,,,,,,,
Winston–Salem,North Carolina,"Winston–Salem, North Carolina",,,yes,'ascii' codec can't encode character '\u2013' in position 21: ordinal not in range(128),,,,,,,,,,
Chesapeake,Virginia,"Chesapeake, Virginia",yes,yes,,,,,,,,,,,,
Norfolk,Virginia,"Norfolk, Virginia",yes,yes,,,,,,,,,,,,
Fremont,California,"Fremont, California",yes,yes,,,,,,,,,,,,
Garland,Texas,"Garland, Texas",yes,yes,,,,,,,,,,,,
Irving,Texas,"Irving, Texas",,,yes,,,,,,,,,,,
Hialeah,Florida,"Hialeah, Florida",,,yes,,,,,,,,,,,
Richmond,Virginia,"Richmond, Virginia",yes,yes,,,,,,,,,,,,
Boise,Idaho,"Boise, Idaho",yes,yes,,,,,,,,,,,,
Spokane,Washington,"Spokane, Washington",yes,yes,,,,,,,,,,,,
Baton Rouge,Louisiana,"Baton Rouge, Louisiana",yes,yes,,,,,,,,,,,,
Tacoma,Washington,"Tacoma, Washington",yes,yes,,,,,,,,,,,,
San Bernardino,California,"San Bernardino, California",yes,yes,,,,,,,,,,,,
Modesto,California,"Modesto, California",yes,yes,,,,,,,,,,,,
Fontana,California,"Fontana, California",,,yes,only 16 things?,,,,,,,,,,
Des Moines,Iowa,"Des Moines, Iowa",,,yes,,,,,,,,,,,
Moreno Valley,California,"Moreno Valley, California",,,yes,only 12 things?,,,,,,,,,,
Santa Clarita,California,"Santa Clarita, California",,,yes,error writing?,,,,,,,,,,
Fayetteville,North Carolina,"Fayetteville, North Carolina",yes,yes,,,,,,,,,,,,
Birmingham,Alabama,"Birmingham, Alabama",yes,yes,,,,,,,,,,,,
Oxnard,California,"Oxnard, California",yes,yes,,,,,,,,,,,,
Rochester,New York,"Rochester, New York",yes,yes,,,,,,,,,,,,
Port St. Lucie,Florida,"Port St. Lucie, Florida",yes,yes,,,,,,,,,,,,
Grand Rapids,Michigan,"Grand Rapids, Michigan",,,yes,,,,,,,,,,,
Huntsville,Alabama,"Huntsville, Alabama",,,yes,,,,,,,,,,,
Salt Lake City,Utah,"Salt Lake City, Utah",,,yes,,,,,,,,,,,
Frisco,Texas,"Frisco, Texas",yes,yes,,,,,,,,,,,,
Yonkers,New York,"Yonkers, New York",yes,yes,,,,,,,,,,,,
Amarillo,Texas,"Amarillo, Texas",yes,yes,,,,,,,,,,,,
Glendale,California,"Glendale, California",yes,yes,,,,,,,,,,,,
Huntington Beach,California,"Huntington Beach, California",yes,yes,,,,,,,,,,,,
McKinney,Texas,"McKinney, Texas",yes,yes,,,,,,,,,,,,
Montgomery,Alabama,"Montgomery, Alabama",yes,yes,,,,,,,,,,,,
Augusta,Georgia,"Augusta, Georgia",yes,yes,,,,,,,,,,,,
Aurora,Illinois,"Aurora, Illinois",,,yes,,,,,,,,,,,
Akron,Ohio,"Akron, Ohio",yes,yes,,,,,,,,,,,,
Little Rock,Arkansas,"Little Rock, Arkansas",,,yes,,,,,,,,,,,
Tempe,Arizona,"Tempe, Arizona",yes,yes,,,,,,,,,,,,
Columbus,Georgia,"Columbus, Georgia",yes,yes,,,,,,,,,,,,
Overland Park,Kansas,"Overland Park, Kansas",,,yes,,,,,,,,,,,
Grand Prairie,Texas,"Grand Prairie, Texas",,,yes,,,,,,,,,,,
Tallahassee,Florida,"Tallahassee, Florida",yes,yes,,,,,,,,,,,,
